Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcFXHY	575	77	2	19	0	477	75	0	0	0
bcAMQS	572	85	0	20	0	467	76	0	0	0
bcCTVU	568	185	4	39	6	334	157	0	0	0
bcFGVN	565	111	5	25	3	421	103	0	0	0
bcADGY	561	64	3	24	0	470	59	0	0	0
bcIAVU	558	74	0	10	1	473	64	0	0	0
bcESVM	554	73	0	16	0	465	61	0	0	0
bcDOGK	551	52	3	15	1	480	54	0	0	0
bcAOGK	548	83	1	22	1	441	76	0	0	0
bcDILB	545	72	3	20	2	448	68	0	0	0
bcBEBA	540	67	6	12	0	455	67	0	0	0
bcBMVI	537	94	2	21	0	420	86	0	0	0
bcCNAL	533	188	1	28	1	315	128	0	0	0
bcBJWV	529	78	2	21	1	427	71	0	0	0
bcBWNK	526	72	1	19	1	433	72	0	0	0
bcHNJO	523	140	3	39	2	339	127	0	0	0
bcFLIB	519	130	7	19	2	361	127	0	0	0
bcBMWG	515	103	2	19	3	388	92	0	0	0
bcCYHE	512	72	3	15	2	420	73	0	0	0
bcAPFU	508	86	3	16	1	402	83	0	0	0
bcBMNO	504	66	1	30	0	407	63	0	0	0
bcETUH	500	52	2	18	1	427	48	0	0	0
bcBEOI	496	83	3	17	4	389	74	0	0	0
bcEEVT	492	87	5	22	2	376	80	0	0	0
bcCQFU	489	78	2	22	0	387	62	0	0	0
bcFPWM	485	94	1	19	3	368	83	0	0	0
bcFBWB	481	60	1	16	0	404	58	0	0	0
bcGERA	476	99	3	26	0	348	86	0	0	0
bcESWV	472	88	5	14	2	363	78	0	0	0
bcIIHO	468	77	3	15	0	373	74	0	0	0
bcIINQ	464	66	1	23	1	373	56	0	0	0
bcICZZ	459	78	1	29	1	350	73	0	0	0
bcEUJW	455	72	8	17	0	358	70	0	0	0
bcECKT	450	77	1	12	1	359	71	0	0	0
bcEPPF	445	74	4	18	2	347	75	0	0	0
bcFWTU	441	74	4	14	0	349	69	0	0	0
bcARSF	437	58	1	26	3	349	52	0	0	0
bcGXPE	433	43	2	9	1	378	42	0	0	0
bcHWTY	428	88	2	17	1	320	78	0	0	0
bcHKRF	424	84	3	13	1	323	80	0	0	0
bcDFXD	419	61	1	9	1	347	58	0	0	0
bcEGHM	414	249	1	38	3	123	177	0	0	0
bcBTDJ	410	63	4	10	0	333	64	0	0	0
bcACVX	405	62	3	17	1	322	65	0	0	0
bcGHLS	399	42	2	14	0	341	42	0	0	0
bcCSPY	394	71	1	16	0	306	67	0	0	0
bcERQA	390	72	0	16	1	301	60	0	0	0
bcBEWX	384	106	6	35	2	235	119	0	0	0
bcETRN	378	73	1	18	0	286	66	0	0	0
bcBENG	373	70	1	6	0	296	63	0	0	0
bcCVBT	367	67	0	16	0	284	56	0	0	0
bcHKWI	361	84	1	13	1	262	77	0	0	0
bcGXAL	355	69	1	29	1	255	59	0	0	0
bcGEFL	349	57	1	8	2	281	53	0	0	0
bcFFMF	343	55	0	23	0	265	46	0	0	0
bcDOEX	337	58	0	17	0	262	52	0	0	0
bcHLGZ	331	41	1	13	0	276	40	0	0	0
bcEXSL	324	65	2	15	2	240	61	0	0	0
bcHOMI	317	43	1	11	1	261	37	0	0	0
bcGJJN	310	58	2	12	0	238	55	0	0	0
bcCWGW	303	62	2	9	2	228	51	0	0	0
bcGSIO	295	65	1	11	1	217	63	0	0	0
bcHCPO	287	44	1	12	1	229	41	0	0	0
bcGIAL	279	81	1	21	1	175	69	0	0	0
bcDIKF	272	55	1	13	1	202	53	0	0	0
bcHUWZ	264	55	2	11	0	196	54	0	0	0
bcCMAV	256	42	0	9	0	205	41	0	0	0
bcIGDG	81397	47380	1130	11872	675	20340	45861	0	0	0
bcCKYI	38548	22734	393	5256	231	9934	22514	0	0	0
bcDJZB	28842	16682	440	4917	241	6562	18135	0	0	0
bcCBKU	23052	13364	296	2901	111	6380	12407	0	0	0
bcHYQE	19817	11326	190	2501	376	5424	10734	0	0	0
bcFRJJ	17492	3771	68	10033	381	3239	3552	0	0	0
bcCUYK	15236	10180	112	1472	24	3448	9047	0	0	0
bcHDZH	13735	7590	100	1407	75	4563	6393	0	0	0
bcDJHN	12389	8039	108	1100	128	3014	6620	0	0	0
bcBFZE	11425	7008	102	1288	71	2956	6094	0	0	0
bcDVSH	10535	7197	94	910	23	2311	5988	0	0	0
bcACJK	9693	6583	107	945	24	2034	5694	0	0	0
bcFKQA	8993	5570	78	1202	107	2036	4248	0	0	0
bcFWTX	8307	4471	77	710	50	2999	3557	0	0	0
bcERPL	7642	4929	54	703	22	1934	3970	0	0	0
bcGDNZ	7026	4199	44	885	32	1866	3825	0	0	0
bcFWJW	6478	3947	45	738	29	1719	3186	0	0	0
bcAJYW	5895	3432	43	518	63	1839	2981	0	0	0
bcEQAS	5323	2226	31	1381	54	1631	1733	0	0	0
bcCBRC	4791	2760	39	278	29	1685	1944	0	0	0
bcHZOA	4139	2131	35	290	22	1661	1635	0	0	0
bcIBDU	3408	1209	18	193	16	1972	956	0	0	0
bcELSR	2859	1095	19	121	30	1594	773	0	0	0
bcCQCE	2384	826	15	179	7	1357	654	0	0	0
bcDCXA	2102	1292	15	243	9	543	1067	0	0	0
bcAQJF	1929	1301	8	209	21	390	1015	0	0	0
bcHPVO	1797	203	5	43	6	1540	198	0	0	0
bcHIIK	1695	237	6	52	2	1398	233	0	0	0
bcHGXT	1618	752	19	115	14	718	563	0	0	0
bcAWQR	1551	227	5	46	7	1266	192	0	0	0
bcAJGD	1484	198	10	33	1	1242	196	0	0	0
bcGYHZ	1441	199	10	50	2	1180	198	0	0	0
bcEAKU	1397	206	5	29	2	1155	186	0	0	0
bcBXKI	1357	206	7	47	3	1094	188	0	0	0
bcFCFA	1325	184	2	46	2	1091	167	0	0	0
bcIBZZ	1292	190	8	28	3	1063	166	0	0	0
bcDKRW	1260	173	9	25	2	1051	168	0	0	0
bcAKXN	1231	146	6	26	1	1052	134	0	0	0
bcGOTE	1203	155	7	40	2	999	147	0	0	0
bcFOJJ	1179	149	5	34	1	990	171	0	0	0
bcIFVE	1158	153	3	24	1	977	138	0	0	0
bcCJNF	1138	158	4	33	4	939	153	0	0	0
bcGKOH	1118	149	7	21	2	939	153	0	0	0
bcGLFY	1098	143	8	34	2	911	143	0	0	0
bcBUAA	1079	192	10	50	5	822	165	0	0	0
bcFDJT	1063	253	10	57	0	743	225	0	0	0
bcDNGW	1046	149	5	43	0	849	134	0	0	0
bcBFAS	1029	122	4	25	3	875	116	0	0	0
bcHAEO	1015	104	3	26	1	881	93	0	0	0
bcCFNN	1002	180	2	37	1	782	160	0	0	0
bcHPAM	987	132	4	29	3	819	131	0	0	0
bcEFBR	975	141	7	35	2	790	134	0	0	0
bcDTZE	964	129	1	24	2	808	108	0	0	0
bcAYGF	953	243	9	58	1	642	179	0	0	0
bcHMLR	943	228	6	33	3	673	172	0	0	0
bcBAMO	932	132	6	15	1	778	137	0	0	0
bcFJRU	922	113	4	25	1	779	104	0	0	0
bcBHQZ	913	92	4	28	0	789	86	0	0	0
bcGGPS	904	259	3	30	7	605	203	0	0	0
bcFVRP	893	116	5	76	5	691	115	0	0	0
bcIFRG	886	158	7	35	1	685	182	0	0	0
bcCXUR	878	136	4	38	3	697	136	0	0	0
bcCZAG	870	126	3	25	4	712	114	0	0	0
bcEVNW	863	131	0	32	4	696	129	0	0	0
bcDACB	856	231	5	44	3	573	184	0	0	0
bcDQLG	849	111	4	34	1	699	107	0	0	0
bcCTBZ	842	134	1	36	2	669	105	0	0	0
bcDZSM	836	132	5	36	1	662	122	0	0	0
bcGIBA	830	104	5	41	2	678	97	0	0	0
bcCIZD	824	112	0	21	2	689	99	0	0	0
bcDARF	818	158	2	28	2	628	139	0	0	0
bcHFZX	812	176	2	37	1	596	154	0	0	0
bcHMBS	806	133	8	35	3	627	113	0	0	0
bcFXLB	800	89	0	28	0	683	85	0	0	0
bcCDFY	794	124	4	31	0	635	116	0	0	0
bcIHOT	789	79	7	21	0	682	74	0	0	0
bcFWNQ	783	82	4	19	0	678	80	0	0	0
bcECKL	778	119	4	28	1	626	116	0	0	0
bcCDZE	773	131	4	25	1	612	106	0	0	0
bcAVKT	767	88	3	30	0	646	87	0	0	0
bcBXOH	762	107	5	58	1	591	103	0	0	0
bcIKCB	757	79	3	25	0	650	78	0	0	0
bcDWMT	753	91	4	22	0	636	97	0	0	0
bcCCTW	749	96	2	16	2	633	93	0	0	0
bcFXHN	744	108	6	14	2	614	108	0	0	0
bcDGGT	739	158	0	23	2	556	126	0	0	0
bcHIBN	735	127	3	29	2	574	119	0	0	0
bcBXFH	731	95	5	18	1	612	91	0	0	0
bcBDZG	726	129	2	28	0	567	109	0	0	0
bcAYYR	722	83	1	30	1	607	81	0	0	0
bcCOOH	717	77	1	20	2	617	76	0	0	0
bcEVGX	713	107	7	15	0	584	105	0	0	0
bcHEDK	709	124	3	27	2	553	113	0	0	0
bcCBEY	705	97	2	14	1	591	94	0	0	0
bcDWRV	701	71	4	23	1	602	69	0	0	0
bcHSOK	697	73	4	42	0	578	69	0	0	0
bcAYPR	693	112	4	26	0	551	110	0	0	0
bcAMYN	689	166	5	43	1	474	131	0	0	0
bcBKLT	685	97	4	33	4	547	94	0	0	0
bcGBCC	681	135	4	28	0	514	127	0	0	0
bcCSPV	677	104	3	24	3	543	94	0	0	0
bcFAHR	673	91	1	18	2	561	78	0	0	0
bcBWWA	669	99	3	15	1	551	102	0	0	0
bcHZYA	665	102	3	15	0	545	88	0	0	0
bcBYXD	661	98	3	21	1	538	95	0	0	0
bcDBNV	657	98	5	26	2	526	99	0	0	0
bcDOLI	654	100	1	16	0	537	91	0	0	0
bcEMUJ	650	112	5	24	1	508	114	0	0	0
bcBLHM	647	118	4	25	2	498	105	0	0	0
bcEOCZ	643	94	4	20	0	525	94	0	0	0
bcGPJR	639	135	2	28	1	473	105	0	0	0
bcHKEP	636	92	2	23	0	519	90	0	0	0
bcIFTX	633	103	3	33	1	493	95	0	0	0
bcFLLJ	629	116	1	26	0	486	117	0	0	0
bcDKQE	625	77	1	15	1	531	68	0	0	0
bcGYXT	621	93	2	22	2	502	78	0	0	0
bcEXTU	618	93	2	25	0	498	84	0	0	0
bcHUCT	615	79	2	29	2	503	71	0	0	0
bcGJCY	611	91	3	22	2	493	91	0	0	0
bcGTVA	608	113	3	28	0	464	102	0	0	0
bcBNQN	604	101	3	27	1	472	89	0	0	0
bcGUDJ	600	57	2	15	1	525	56	0	0	0
bcEWCD	597	102	3	15	1	476	88	0	0	0
bcACYO	593	80	4	14	3	492	71	0	0	0
bcFGSI	589	81	2	14	1	491	80	0	0	0
bcGDWP	586	81	1	21	2	481	67	0	0	0
bcHJKT	582	94	3	22	0	463	91	0	0	0
bcCOFA	579	105	1	16	1	456	99	0	0	0
bcBYSY	575	78	5	15	3	474	78	0	0	0
bcHTMY	572	104	3	26	1	438	76	0	0	0
bcDTHO	568	71	4	17	3	473	70	0	0	0
bcCBLJ	565	80	4	16	2	463	79	0	0	0
bcATWA	561	72	2	20	2	465	68	0	0	0
bcHZPB	558	69	6	15	4	464	77	0	0	0
bcBZZK	554	105	3	24	0	422	89	0	0	0
bcIGFI	551	84	3	16	1	447	78	0	0	0
bcGTSF	548	87	2	26	0	433	80	0	0	0
bcBAVF	544	129	2	21	2	390	127	0	0	0
bcIHLT	540	181	9	48	3	299	147	0	0	0
bcECLN	537	63	2	15	3	454	60	0	0	0
bcABZV	533	88	3	19	5	418	87	0	0	0
bcDKWP	529	136	4	28	2	359	128	0	0	0
bcHSEX	526	81	2	22	0	421	76	0	0	0
bcFSML	523	76	2	25	2	418	74	0	0	0
bcEYJC	519	93	2	18	0	406	87	0	0	0
bcFXGM	515	69	3	16	0	427	69	0	0	0
bcHALG	512	115	5	14	2	376	96	0	0	0
bcELTA	508	104	0	24	2	378	93	0	0	0
bcBTUP	504	94	0	14	0	396	84	0	0	0
bcDKBM	500	71	2	9	1	417	69	0	0	0
bcAOSO	496	89	4	19	1	383	83	0	0	0
bcIBQF	492	113	1	19	0	359	103	0	0	0
bcDIMK	489	94	2	20	1	372	76	0	0	0
bcENFV	485	109	4	18	1	353	110	0	0	0
bcEMPY	481	91	3	24	2	361	83	0	0	0
bcBAGB	476	106	2	23	3	342	94	0	0	0
bcDVQS	472	57	4	11	3	397	55	0	0	0
bcAVZU	468	70	1	23	0	374	73	0	0	0
bcFHVR	464	72	1	9	2	380	65	0	0	0
bcHYOM	459	77	2	8	0	372	70	0	0	0
bcFANP	455	92	3	23	0	337	81	0	0	0
bcAHVG	450	65	2	12	4	367	61	0	0	0
bcACTL	445	69	2	17	0	357	61	0	0	0
bcBSLW	441	97	5	25	3	311	93	0	0	0
bcCHXQ	437	54	4	11	2	366	53	0	0	0
bcAACS	433	175	10	46	5	197	193	0	0	0
bcGBQY	428	73	2	18	1	334	64	0	0	0
bcIHKU	424	66	6	10	1	341	62	0	0	0
bcFHGZ	419	223	3	40	2	151	175	0	0	0
bcHUAC	414	35	1	17	2	359	29	0	0	0
bcEPWS	410	76	2	15	2	315	70	0	0	0
bcHLLY	405	54	0	23	0	328	52	0	0	0
bcBDKW	399	85	0	18	1	295	73	0	0	0
bcETFM	394	39	2	10	1	342	34	0	0	0
bcDAWA	390	71	0	20	0	299	67	0	0	0
bcFESK	384	65	2	14	0	303	59	0	0	0
bcBNRO	378	65	1	12	2	298	60	0	0	0
bcECBO	372	112	4	22	0	234	115	0	0	0
bcAJPC	367	63	2	21	0	281	61	0	0	0
