Barcode	Reads	Reads with unique alignment	Reads with unique alignment within shorter distance of 3'-end	Reads with less than `m` multiple alignments	Reads with more than than `m` multiple alignments	Reads with no alignments	UMIFM	Ambig UMIFM (between 2 genes)	Ambig UMIFM (between 3 genes)	Ambig UMIFM (between more than 3 genes)
bcAZXO	1028	174	12	36	3	803	168	0	0	0
bcCZCN	1012	240	6	40	2	724	200	0	0	0
bcFEYI	998	191	13	40	3	751	175	0	0	0
bcEIDJ	984	156	10	40	3	775	142	0	0	0
bcHGSH	970	227	7	63	3	670	193	0	0	0
bcFTEO	957	141	8	37	0	771	146	0	0	0
bcGFCB	945	235	12	42	7	649	209	0	0	0
bcDTLC	932	191	8	33	6	694	166	0	0	0
bcBXZE	920	278	10	29	0	603	195	0	0	0
bcDZCD	909	126	7	35	2	739	115	0	0	0
bcEAMG	898	193	14	36	0	655	169	0	0	0
bcGFHU	887	154	8	28	2	695	144	0	0	0
bcEVLT	878	198	8	34	3	635	182	0	0	0
bcFIMT	868	199	9	38	6	616	176	0	0	0
bcDCQY	857	281	13	27	3	533	204	0	0	0
bcFHCZ	846	142	13	44	1	646	139	0	0	0
bcCKSH	836	205	9	49	5	568	174	0	0	0
bcDBVY	827	483	13	105	1	225	396	0	0	0
bcEZBE	818	514	8	109	4	183	359	0	0	0
bcEOFB	810	133	9	31	2	635	116	0	0	0
bcFTPO	801	159	5	31	3	603	137	0	0	0
bcHRZE	792	153	7	33	2	597	135	0	0	0
bcEVLI	784	163	7	37	0	577	135	0	0	0
bcAWNS	776	147	7	46	4	572	116	0	0	0
bcANSR	769	177	8	45	0	539	161	0	0	0
bcBDXI	760	126	3	39	3	589	117	0	0	0
bcIGAW	752	177	4	40	2	529	129	0	0	0
bcFWPR	744	133	3	38	4	566	113	0	0	0
bcDNAS	736	130	6	35	1	564	108	0	0	0
bcDUUU	729	125	4	32	2	566	114	0	0	0
bcCRBU	721	149	12	40	3	517	142	0	0	0
bcEETT	715	144	6	19	3	543	130	0	0	0
bcDONR	708	204	3	65	1	435	167	0	0	0
bcAMGV	701	156	9	40	0	496	149	0	0	0
bcGQCN	694	104	6	31	1	552	97	0	0	0
bcBXEI	687	140	7	37	5	498	126	0	0	0
bcFTDL	681	126	3	23	1	528	108	0	0	0
bcDMSD	673	165	4	36	0	468	138	0	0	0
bcDYRT	666	132	10	34	2	488	126	0	0	0
bcDKXI	660	172	7	38	4	439	152	0	0	0
bcGHJP	653	95	2	24	1	531	90	0	0	0
bcFLNB	646	103	8	33	2	500	105	0	0	0
bcENID	640	145	9	29	1	456	130	0	0	0
bcBLCF	634	294	13	53	3	271	223	0	0	0
bcDKXV	627	149	2	31	0	445	131	0	0	0
bcATST	621	127	8	29	2	455	123	0	0	0
bcBODV	614	130	3	31	0	450	107	0	0	0
bcFJLK	608	399	12	80	3	114	274	0	0	0
bcBNNJ	601	127	11	31	0	432	120	0	0	0
bcIBCQ	595	88	6	33	4	464	81	0	0	0
bcABXJ	588	120	6	24	2	436	113	0	0	0
bcFSAS	582	149	8	31	1	393	126	0	0	0
bcBXZZ	576	87	4	20	1	464	79	0	0	0
bcBYJT	569	106	6	18	2	437	101	0	0	0
bcENAY	562	131	4	22	0	405	114	0	0	0
bcGOEL	556	298	7	78	3	170	195	0	0	0
bcFSFH	550	212	3	26	9	300	136	0	0	0
bcGCUB	543	111	3	15	0	414	101	0	0	0
bcCOVV	537	113	2	24	0	398	106	0	0	0
bcHDVF	530	120	8	20	1	381	101	0	0	0
bcDQFH	524	264	18	42	0	200	206	0	0	0
bcDYWH	518	105	2	30	1	380	93	0	0	0
bcCOZG	511	130	5	34	0	342	115	0	0	0
bcHNXK	505	122	4	30	1	348	96	0	0	0
bcAZUQ	500	115	4	15	0	366	111	0	0	0
bcHEZY	494	100	8	23	1	362	88	0	0	0
bcGESF	488	296	9	69	5	109	212	0	0	0
bcFFFC	481	270	6	81	2	122	191	0	0	0
bcEAPX	475	107	2	25	1	340	96	0	0	0
bcFNQP	469	107	5	15	2	340	104	0	0	0
bcEUWT	463	123	4	32	1	303	102	0	0	0
bcDWWW	457	99	7	19	0	332	84	0	0	0
bcBRTG	451	81	2	16	3	349	74	0	0	0
bcEPBC	445	100	3	20	0	322	94	0	0	0
bcCKCJ	438	82	3	18	0	335	75	0	0	0
bcIGXS	433	92	3	21	2	315	76	0	0	0
bcEHRG	427	75	2	19	1	330	66	0	0	0
bcBGFS	422	86	6	17	2	311	72	0	0	0
bcGPNP	417	100	4	19	1	293	84	0	0	0
bcCKYY	411	115	8	40	2	246	102	0	0	0
bcFATZ	405	95	9	22	0	279	90	0	0	0
bcDGEC	398	62	2	14	0	320	61	0	0	0
