,Basal,Secretory-1,Secretory-2,Secretory-3,Multiciliated,Ionocyte/Tuft,PNEC,Cell cycle,Ribosomal,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
PAPPA,0.00E+00,0.00E+00,0.00E+00,4.61E-05,0.00E+00,0.00E+00,3.43E-06,0.00E+00,0.00E+00,0.00E+00,2.03E-04,0.00E+00,0.00E+00,3.51E-05,0.00E+00,0.00E+00,9.31E-06,0.00E+00,3.74E-04,2.33E-03
PAPSS2,0.00E+00,0.00E+00,1.77E-03,3.70E-04,0.00E+00,0.00E+00,2.34E-06,8.98E-05,2.08E-04,0.00E+00,0.00E+00,9.49E-05,9.05E-05,5.04E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.88E-05,1.90E-04
PAQR4,0.00E+00,0.00E+00,4.79E-04,1.60E-03,1.23E-04,1.62E-04,0.00E+00,8.49E-04,0.00E+00,0.00E+00,0.00E+00,5.03E-05,0.00E+00,7.59E-05,3.17E-04,4.85E-05,0.00E+00,4.60E-06,2.50E-04,1.77E-04
PARD6G,1.25E-03,1.25E-04,1.19E-07,0.00E+00,1.97E-05,3.04E-04,0.00E+00,6.23E-04,3.85E-04,0.00E+00,1.09E-03,1.75E-04,3.77E-04,0.00E+00,1.62E-05,2.21E-04,2.33E-04,0.00E+00,1.88E-04,7.82E-04
PARD6G-AS1,4.76E-05,0.00E+00,1.65E-05,2.65E-05,7.97E-04,0.00E+00,0.00E+00,2.21E-04,3.07E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.90E-05,1.08E-05,7.52E-05,7.54E-06,5.88E-06
PARM1,8.98E-05,2.66E-04,1.81E-03,0.00E+00,8.77E-05,2.46E-04,2.11E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.00E-03,2.62E-03,0.00E+00,0.00E+00,0.00E+00,2.67E-04,0.00E+00,0.00E+00
PARP12,4.53E-05,1.15E-04,1.02E-04,2.70E-04,2.34E-04,1.90E-04,0.00E+00,3.66E-05,3.96E-05,1.88E-04,2.09E-04,3.06E-04,0.00E+00,2.61E-04,2.37E-03,4.64E-04,7.34E-04,2.81E-04,2.84E-04,8.77E-05
PARP14,4.38E-05,2.94E-04,6.57E-04,3.74E-04,4.30E-04,4.42E-05,5.12E-05,0.00E+00,1.76E-04,6.23E-05,0.00E+00,3.03E-05,0.00E+00,4.95E-04,2.46E-03,6.35E-04,9.42E-04,1.55E-03,2.72E-04,1.19E-04
PARP9,6.08E-05,3.06E-04,2.82E-04,3.22E-04,2.79E-04,1.68E-04,1.46E-04,2.22E-05,3.81E-05,1.66E-04,3.23E-04,0.00E+00,9.27E-05,3.00E-04,4.54E-03,2.58E-04,1.25E-03,9.18E-04,1.54E-04,1.39E-04
PAWR,6.10E-04,4.42E-04,3.79E-04,3.91E-04,3.26E-04,4.25E-04,1.18E-04,2.91E-04,5.05E-04,0.00E+00,0.00E+00,6.67E-04,5.29E-04,6.28E-04,2.25E-04,1.37E-03,3.06E-04,4.05E-04,8.55E-04,4.79E-04
PAX8-AS1,5.04E-04,4.31E-04,3.48E-04,0.00E+00,7.06E-05,5.68E-05,2.10E-05,0.00E+00,1.28E-04,2.01E-04,1.91E-04,2.86E-04,6.01E-04,2.76E-04,4.34E-04,3.63E-04,3.32E-04,3.46E-04,4.31E-04,2.36E-04
PBK,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.75E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
PCAT1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.16E-03,4.96E-04,0.00E+00,0.00E+00,0.00E+00
PCBP1,6.15E-04,7.19E-04,6.32E-04,1.02E-03,5.30E-04,1.24E-03,4.74E-04,1.01E-03,1.08E-03,1.73E-03,5.50E-04,5.85E-04,9.14E-04,4.85E-04,7.73E-04,1.16E-03,5.79E-04,1.49E-03,8.45E-04,5.01E-04
PCDH7,1.07E-03,6.83E-04,4.39E-04,6.11E-04,3.32E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.40E-04,1.12E-03,4.31E-04,5.21E-04,0.00E+00,5.84E-04,3.60E-04,0.00E+00,6.18E-04
