,Basal,Secretory-1,Secretory-2,Secretory-3,Multiciliated,Ionocyte/Tuft,PNEC,Cell cycle,Ribosomal,Shared-1,Shared-2,Shared-3,CHIR,IL13,IFNA,IFNG-1,IFNG-2,IFNG-3,TGFB1-1,TGFB1-2
DDX3Y,0.00E+00,0.00E+00,0.00E+00,1.02E-03,9.36E-04,8.59E-05,6.74E-05,0.00E+00,0.00E+00,0.00E+00,2.75E-05,9.65E-05,1.08E-04,0.00E+00,5.34E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.69E-04
DDX58,1.22E-05,4.09E-05,6.71E-05,8.68E-05,1.58E-05,1.51E-04,5.59E-05,0.00E+00,0.00E+00,2.20E-04,0.00E+00,9.71E-05,0.00E+00,5.82E-04,3.63E-03,1.53E-05,9.36E-04,0.00E+00,2.73E-04,4.77E-05
DDX60,9.19E-06,0.00E+00,0.00E+00,7.59E-05,1.09E-04,1.11E-04,0.00E+00,0.00E+00,0.00E+00,5.12E-04,9.64E-05,3.69E-07,0.00E+00,1.02E-03,2.20E-03,6.32E-04,1.53E-03,1.10E-03,5.93E-05,1.77E-06
DDX60L,0.00E+00,1.03E-05,5.62E-06,1.68E-05,2.86E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.43E-04,3.25E-05,5.42E-04,0.00E+00,3.77E-05,2.40E-03,4.27E-04,1.34E-03,2.18E-04,2.04E-04,0.00E+00
DEFB1,0.00E+00,3.74E-04,4.61E-04,0.00E+00,0.00E+00,2.43E-04,0.00E+00,0.00E+00,1.98E-05,0.00E+00,1.71E-04,0.00E+00,0.00E+00,2.30E-04,1.92E-04,0.00E+00,4.64E-05,6.71E-04,0.00E+00,0.00E+00
DEGS2,0.00E+00,6.48E-05,1.94E-05,8.18E-04,1.80E-03,9.85E-05,5.46E-05,0.00E+00,0.00E+00,2.00E-04,4.39E-05,0.00E+00,3.71E-05,1.53E-04,2.01E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DENND6B,3.12E-05,6.06E-05,1.62E-06,1.09E-04,2.32E-03,0.00E+00,1.84E-05,0.00E+00,0.00E+00,6.76E-06,4.46E-05,0.00E+00,8.88E-06,0.00E+00,4.85E-05,0.00E+00,2.02E-05,0.00E+00,3.65E-05,0.00E+00
DEPDC1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.94E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.12E-05,0.00E+00,1.29E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DEPDC4,1.40E-05,3.76E-05,6.68E-05,5.79E-05,9.57E-05,1.12E-04,2.09E-04,1.38E-04,1.03E-04,0.00E+00,0.00E+00,0.00E+00,7.81E-05,1.35E-04,1.58E-04,5.54E-04,7.23E-04,0.00E+00,0.00E+00,1.65E-04
DESI1,3.14E-04,4.21E-04,3.65E-04,1.24E-04,6.60E-05,2.09E-04,7.84E-05,8.54E-05,4.69E-04,9.74E-05,4.10E-04,4.15E-04,8.79E-05,2.91E-04,2.70E-04,5.29E-04,1.60E-03,7.40E-05,9.23E-05,4.91E-04
DGKI,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.08E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.55E-05,0.00E+00,0.00E+00,0.00E+00,1.21E-05,1.67E-06,0.00E+00,3.73E-04,7.05E-04
DHCR24,4.14E-04,7.57E-04,2.27E-03,1.93E-03,3.33E-04,6.88E-05,1.80E-04,5.70E-04,4.06E-04,0.00E+00,9.25E-04,7.81E-05,0.00E+00,0.00E+00,6.28E-04,5.43E-05,3.96E-04,4.54E-05,0.00E+00,1.82E-04
DHFR,1.03E-04,3.90E-04,4.45E-04,8.06E-04,3.92E-04,1.90E-04,2.57E-04,3.31E-03,5.03E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.31E-04,7.88E-05,5.83E-05,0.00E+00,1.32E-04,1.74E-04
DHRS2,0.00E+00,0.00E+00,2.75E-08,0.00E+00,0.00E+00,0.00E+00,3.96E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.50E-05,0.00E+00,0.00E+00,3.70E-06,0.00E+00,3.98E-04,7.89E-04
DHRS3,8.76E-04,1.65E-03,1.31E-04,1.42E-03,4.12E-04,2.44E-04,0.00E+00,1.11E-04,2.87E-04,0.00E+00,7.19E-05,3.77E-05,7.71E-04,1.91E-04,7.89E-04,2.96E-04,3.41E-04,5.84E-04,4.28E-04,1.44E-03
DHRS7,9.26E-04,7.76E-04,3.39E-04,3.33E-04,3.49E-06,1.62E-03,7.60E-04,0.00E+00,6.74E-05,1.44E-04,0.00E+00,5.77E-04,8.70E-04,1.73E-03,5.48E-04,7.78E-04,6.80E-04,6.48E-04,5.58E-04,5.53E-04
DHRS9,0.00E+00,3.04E-03,1.02E-04,1.67E-04,3.70E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.18E-03,0.00E+00,0.00E+00,4.07E-04,4.47E-04,0.00E+00,1.45E-04,2.37E-03,0.00E+00,0.00E+00
DHX15,5.98E-04,4.59E-04,5.44E-04,4.02E-04,3.01E-04,4.88E-04,2.52E-04,6.48E-04,7.70E-04,1.71E-04,3.01E-04,3.87E-04,1.87E-04,2.29E-04,2.76E-04,1.10E-03,5.28E-04,5.68E-04,5.22E-04,3.85E-04
DIO2,0.00E+00,0.00E+00,0.00E+00,1.61E-06,5.55E-05,2.26E-04,4.34E-07,0.00E+00,0.00E+00,5.79E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.36E-06,0.00E+00,0.00E+00,4.79E-05
DIRC3,0.00E+00,0.00E+00,1.73E-05,1.63E-05,0.00E+00,2.34E-04,6.60E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.51E-04,3.74E-04,0.00E+00,0.00E+00,8.16E-05,0.00E+00,5.63E-05,5.96E-05,0.00E+00
DKC1,4.64E-04,1.00E-04,2.83E-04,2.51E-04,1.31E-04,3.37E-04,2.08E-04,1.05E-03,8.34E-04,0.00E+00,1.92E-04,2.25E-04,9.39E-05,7.27E-05,1.59E-05,6.72E-04,5.67E-04,0.00E+00,3.80E-06,1.12E-04
DKK1,3.11E-04,0.00E+00,0.00E+00,4.01E-05,0.00E+00,0.00E+00,2.27E-04,6.96E-05,0.00E+00,2.12E-03,0.00E+00,9.92E-04,7.99E-05,0.00E+00,1.76E-04,2.10E-04,0.00E+00,1.25E-03,1.82E-04,0.00E+00
DKK3,6.85E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.76E-04,1.43E-03,0.00E+00,0.00E+00,1.68E-05,0.00E+00,0.00E+00,0.00E+00,2.78E-03
DLC1,9.31E-04,6.82E-05,0.00E+00,1.59E-05,0.00E+00,0.00E+00,3.79E-05,0.00E+00,0.00E+00,1.04E-04,0.00E+00,7.34E-04,1.17E-04,0.00E+00,0.00E+00,4.34E-05,1.31E-04,0.00E+00,0.00E+00,3.69E-04
DLG1,5.26E-04,1.08E-03,4.30E-04,3.56E-04,3.63E-04,3.21E-04,2.93E-05,6.46E-05,1.93E-04,1.30E-04,1.22E-03,0.00E+00,2.03E-03,1.07E-03,1.96E-04,1.13E-04,3.99E-04,4.81E-04,8.75E-04,7.60E-04
DLGAP5,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.26E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DLK2,1.49E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.67E-04,1.35E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.37E-04,0.00E+00,0.00E+00,0.00E+00
DLL1,1.23E-03,0.00E+00,0.00E+00,4.24E-05,1.64E-04,1.04E-03,9.24E-04,1.03E-04,1.30E-04,0.00E+00,0.00E+00,1.91E-04,0.00E+00,0.00E+00,2.78E-04,3.66E-05,5.08E-05,0.00E+00,0.00E+00,0.00E+00
DMBT1,0.00E+00,0.00E+00,0.00E+00,9.03E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.74E-07,0.00E+00,0.00E+00,0.00E+00
DMKN,1.76E-04,6.46E-05,2.21E-04,1.24E-04,1.23E-03,0.00E+00,0.00E+00,2.03E-04,4.78E-04,2.35E-03,1.97E-03,6.05E-04,0.00E+00,1.26E-06,0.00E+00,7.02E-05,4.24E-04,0.00E+00,8.82E-06,3.68E-04
DMRT2,6.13E-05,0.00E+00,0.00E+00,0.00E+00,5.33E-05,1.20E-02,0.00E+00,1.28E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DMRT3,0.00E+00,0.00E+00,4.02E-05,4.71E-04,1.21E-04,1.23E-04,0.00E+00,1.77E-04,2.66E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.61E-05,2.71E-05,0.00E+00,0.00E+00,0.00E+00,4.28E-05,0.00E+00
DNAAF1,0.00E+00,0.00E+00,0.00E+00,4.93E-07,3.39E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.78E-05,4.99E-07,1.15E-05,0.00E+00,2.27E-05,1.38E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.57E-06
DNAAF3,4.41E-07,5.98E-06,0.00E+00,0.00E+00,2.27E-03,2.56E-05,6.57E-05,1.76E-04,0.00E+00,0.00E+00,7.76E-06,0.00E+00,2.72E-05,0.00E+00,8.86E-05,0.00E+00,0.00E+00,0.00E+00,3.26E-05,4.17E-06
DNAH12,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.38E-03,0.00E+00,1.24E-05,7.89E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.58E-04,4.08E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DNAH5,0.00E+00,0.00E+00,8.57E-04,0.00E+00,2.27E-03,1.12E-05,2.02E-05,0.00E+00,7.29E-06,0.00E+00,0.00E+00,0.00E+00,1.78E-05,0.00E+00,0.00E+00,0.00E+00,6.66E-06,0.00E+00,7.31E-05,6.51E-05
DNAH9,3.25E-05,2.11E-05,7.33E-05,0.00E+00,2.62E-03,1.42E-05,3.49E-05,0.00E+00,2.11E-05,3.95E-05,0.00E+00,2.25E-05,6.19E-05,9.50E-06,2.75E-05,3.02E-05,9.93E-05,0.00E+00,2.25E-05,5.47E-05
DNAI1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.57E-03,0.00E+00,5.55E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DNAJA1,3.87E-04,5.67E-04,6.57E-04,8.22E-04,1.22E-03,4.62E-04,2.30E-04,4.70E-04,4.13E-04,2.66E-05,2.69E-05,3.40E-04,6.84E-05,4.11E-04,1.73E-03,1.01E-03,8.08E-04,1.20E-03,3.73E-04,3.34E-04
DNAJA4,6.89E-07,3.13E-04,1.59E-04,2.26E-04,2.92E-03,6.32E-05,1.18E-04,1.45E-04,9.62E-05,4.27E-05,2.38E-04,0.00E+00,0.00E+00,3.90E-04,2.29E-05,3.71E-04,0.00E+00,3.39E-04,9.00E-05,5.53E-05
DNAJB1,4.82E-04,7.19E-04,3.40E-04,7.39E-04,3.14E-04,3.21E-06,0.00E+00,1.37E-04,6.50E-04,4.60E-05,1.83E-03,0.00E+00,4.18E-04,2.32E-04,2.81E-04,8.44E-04,4.18E-04,1.64E-03,6.13E-04,4.79E-04
DNAJB6,5.22E-04,6.23E-04,4.31E-04,3.60E-04,6.04E-04,4.12E-04,2.31E-04,2.48E-04,5.94E-04,5.69E-04,9.67E-04,7.25E-04,3.04E-04,5.48E-04,5.29E-04,9.66E-04,4.78E-04,7.01E-04,1.11E-03,4.81E-04
DNAJB9,2.43E-04,5.75E-04,9.93E-04,6.30E-04,1.51E-05,1.36E-04,4.87E-04,0.00E+00,4.33E-05,4.56E-04,1.97E-04,4.51E-04,1.59E-04,2.48E-04,2.62E-04,8.58E-04,1.49E-04,3.62E-04,3.45E-04,4.57E-04
DNALI1,4.85E-06,1.57E-05,8.08E-05,1.42E-05,3.47E-03,4.75E-05,2.69E-04,1.29E-04,2.52E-06,0.00E+00,0.00E+00,0.00E+00,8.62E-05,0.00E+00,2.02E-04,0.00E+00,0.00E+00,0.00E+00,3.38E-05,1.76E-05
DNM3,0.00E+00,6.95E-05,2.53E-05,0.00E+00,7.77E-05,6.13E-05,0.00E+00,5.16E-05,0.00E+00,2.09E-04,7.40E-05,0.00E+00,1.27E-03,3.11E-05,0.00E+00,0.00E+00,4.56E-07,3.31E-05,3.37E-04,4.65E-04
DOC2B,1.20E-05,1.64E-04,1.29E-03,3.04E-04,1.34E-05,5.77E-04,3.48E-05,4.33E-05,8.12E-05,4.22E-04,0.00E+00,5.80E-05,2.15E-05,1.57E-03,0.00E+00,9.05E-05,3.76E-04,0.00E+00,2.18E-06,5.33E-05
DOT1L,0.00E+00,1.81E-04,1.52E-04,2.56E-04,8.34E-05,3.66E-04,2.18E-04,1.80E-04,1.26E-04,0.00E+00,2.09E-04,6.79E-05,1.36E-04,1.79E-04,2.59E-04,2.32E-04,6.29E-05,1.11E-04,1.72E-04,1.19E-04
DPEP1,2.32E-05,5.03E-06,2.94E-05,0.00E+00,0.00E+00,1.50E-05,3.85E-05,0.00E+00,4.93E-05,0.00E+00,0.00E+00,0.00E+00,4.42E-05,3.44E-05,0.00E+00,0.00E+00,5.91E-05,2.31E-04,0.00E+00,2.45E-05
DPP4,0.00E+00,0.00E+00,0.00E+00,1.87E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.59E-04,4.15E-03,0.00E+00,0.00E+00,1.08E-05,1.06E-04,0.00E+00,0.00E+00
DPYSL3,0.00E+00,9.46E-04,7.34E-04,6.30E-07,0.00E+00,2.31E-04,3.44E-03,8.38E-05,7.30E-04,0.00E+00,0.00E+00,8.40E-05,4.53E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.07E-03,7.30E-04
DRAM1,9.07E-04,6.44E-05,1.92E-04,2.90E-04,0.00E+00,2.81E-04,0.00E+00,0.00E+00,0.00E+00,2.16E-04,0.00E+00,5.76E-04,5.11E-04,1.69E-04,1.65E-04,1.89E-04,7.71E-04,5.45E-05,8.04E-07,8.92E-04
DRAP1,2.87E-04,1.35E-04,1.08E-04,2.21E-04,1.42E-04,3.15E-04,1.94E-04,1.91E-04,2.46E-04,2.49E-04,2.55E-04,9.79E-04,2.83E-04,2.95E-04,2.90E-04,9.30E-04,7.61E-04,2.82E-04,2.89E-04,6.35E-04
DRC1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.51E-03,8.44E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,7.34E-07,0.00E+00,0.00E+00,0.00E+00
DRC3,3.47E-06,0.00E+00,0.00E+00,0.00E+00,2.95E-03,0.00E+00,6.82E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.19E-05,6.74E-06,0.00E+00,0.00E+00,0.00E+00,2.81E-06,0.00E+00,0.00E+00,0.00E+00
DRC7,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.31E-03,0.00E+00,0.00E+00,4.90E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.45E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DSC2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.09E-03,2.55E-03,0.00E+00,1.46E-03,0.00E+00,0.00E+00,2.82E-04,3.99E-05,1.36E-05,2.36E-03,1.40E-03
DSC3,5.86E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,8.31E-04,9.45E-04,0.00E+00,3.31E-03,4.90E-04,6.43E-05,0.00E+00,0.00E+00,4.61E-04,0.00E+00,0.00E+00,7.99E-04,1.00E-03
DSE,1.24E-03,1.74E-04,6.89E-05,0.00E+00,1.80E-04,0.00E+00,0.00E+00,3.27E-04,2.70E-04,1.21E-04,6.97E-04,6.12E-04,2.95E-05,1.12E-03,3.25E-05,8.46E-04,4.41E-04,2.45E-04,7.67E-04,5.24E-04
DSG2,1.42E-03,1.33E-03,4.63E-05,0.00E+00,5.30E-05,4.42E-04,0.00E+00,3.53E-04,3.58E-04,0.00E+00,3.71E-04,4.36E-04,7.10E-04,3.57E-04,6.10E-04,6.88E-04,7.41E-04,1.86E-03,1.14E-03,4.01E-04
DSG3,2.95E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.34E-04,0.00E+00,9.92E-04,4.24E-03,0.00E+00,5.16E-04,0.00E+00,6.74E-05,1.24E-03,3.77E-04,1.48E-04,9.79E-04,8.54E-04
DSP,1.27E-04,2.46E-04,8.37E-05,1.47E-04,1.28E-04,2.42E-04,2.75E-04,2.53E-04,3.60E-04,7.02E-04,4.47E-03,1.80E-05,1.82E-03,0.00E+00,2.16E-04,9.74E-04,1.57E-04,4.22E-05,1.67E-03,1.70E-03
DST,2.71E-03,0.00E+00,0.00E+00,0.00E+00,9.74E-05,4.00E-04,6.57E-05,3.05E-04,1.10E-04,0.00E+00,0.00E+00,1.55E-03,8.34E-04,0.00E+00,0.00E+00,1.23E-03,3.03E-04,0.00E+00,0.00E+00,4.10E-04
DTL,1.93E-05,0.00E+00,0.00E+00,1.47E-05,1.17E-05,7.09E-05,3.85E-06,2.43E-03,2.05E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.75E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
DTX3L,1.12E-04,2.02E-04,2.25E-04,2.08E-04,9.40E-05,1.33E-04,0.00E+00,1.08E-04,1.76E-04,0.00E+00,1.99E-05,7.59E-05,1.46E-04,3.20E-04,1.71E-03,7.99E-04,9.62E-04,7.62E-04,1.43E-04,7.79E-05
DTX4,1.57E-05,9.13E-04,1.47E-03,1.65E-03,8.52E-05,0.00E+00,0.00E+00,0.00E+00,3.70E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,9.38E-05,8.59E-04,0.00E+00,3.41E-05,1.48E-04,0.00E+00,0.00E+00
DUOX1,5.13E-04,5.84E-04,0.00E+00,2.58E-04,1.08E-03,0.00E+00,0.00E+00,1.03E-04,1.42E-04,6.15E-05,2.02E-03,0.00E+00,2.82E-04,3.07E-03,5.32E-04,0.00E+00,6.99E-05,3.40E-05,2.18E-04,3.17E-04
DUOX2,0.00E+00,4.63E-04,8.18E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.65E-03,2.16E-03,0.00E+00,1.19E-03,1.78E-03,0.00E+00,0.00E+00
DUOXA1,4.26E-04,5.90E-04,0.00E+00,1.09E-05,3.19E-04,0.00E+00,0.00E+00,7.95E-05,9.70E-05,3.79E-04,2.48E-03,0.00E+00,4.50E-05,2.00E-03,2.56E-04,4.60E-05,1.15E-04,9.58E-05,5.36E-04,3.54E-04
DUOXA2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.91E-04,2.30E-03,0.00E+00,4.28E-04,1.77E-03,0.00E+00,0.00E+00
DUSP1,9.47E-06,8.38E-04,0.00E+00,4.39E-03,7.54E-04,3.94E-04,0.00E+00,0.00E+00,0.00E+00,2.43E-04,5.24E-04,0.00E+00,0.00E+00,0.00E+00,4.56E-04,4.35E-04,1.11E-04,1.63E-04,0.00E+00,0.00E+00
DUSP10,0.00E+00,9.48E-04,0.00E+00,3.94E-04,1.31E-04,2.84E-04,1.14E-04,0.00E+00,0.00E+00,1.60E-03,0.00E+00,8.90E-05,3.74E-04,2.50E-04,1.29E-04,3.26E-05,3.84E-05,6.16E-04,1.00E-03,5.78E-04
DUSP14,4.71E-04,0.00E+00,1.01E-04,1.73E-04,6.72E-04,2.12E-04,0.00E+00,0.00E+00,0.00E+00,3.71E-04,0.00E+00,1.26E-03,0.00E+00,4.47E-05,0.00E+00,2.42E-03,1.53E-04,1.22E-03,7.51E-04,1.06E-04
DUSP2,1.78E-04,1.16E-04,1.81E-04,4.44E-04,0.00E+00,7.25E-05,1.36E-04,0.00E+00,0.00E+00,1.56E-04,0.00E+00,1.62E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.78E-05,0.00E+00,0.00E+00,9.81E-05
DUSP4,0.00E+00,7.30E-04,3.23E-04,1.74E-03,4.12E-04,1.11E-03,5.17E-04,0.00E+00,0.00E+00,4.18E-05,0.00E+00,6.20E-04,1.30E-04,0.00E+00,2.05E-04,5.74E-04,4.64E-04,1.17E-03,2.61E-04,0.00E+00
DUSP5,0.00E+00,5.00E-04,0.00E+00,2.45E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.33E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.16E-03,3.06E-05,1.41E-03,7.31E-05,0.00E+00
DUSP6,2.76E-04,8.51E-05,9.53E-05,8.05E-04,0.00E+00,4.46E-05,1.48E-04,3.03E-06,0.00E+00,0.00E+00,0.00E+00,1.23E-03,6.40E-04,0.00E+00,1.55E-04,9.24E-05,2.07E-03,0.00E+00,0.00E+00,5.21E-04
DUSP7,8.99E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.68E-04,1.76E-04,0.00E+00,1.50E-03,1.17E-03,0.00E+00,2.77E-04,0.00E+00,1.43E-03,1.16E-03,0.00E+00,3.72E-04,3.74E-04
DYNC1H1,3.42E-04,9.16E-04,6.36E-04,5.16E-04,5.11E-04,8.30E-04,3.47E-04,2.26E-04,4.96E-04,0.00E+00,3.60E-04,7.69E-04,3.82E-04,5.86E-04,1.07E-04,5.09E-04,7.46E-04,2.93E-04,1.40E-03,1.10E-03
DYNLL1,7.45E-04,6.00E-04,5.97E-04,3.03E-04,2.59E-03,5.70E-04,3.04E-04,1.39E-03,4.87E-04,2.99E-04,1.83E-03,7.78E-04,3.23E-04,6.05E-04,7.20E-05,9.33E-04,7.03E-04,9.60E-04,9.82E-04,1.02E-03
DYNLRB2,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.19E-03,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00
E2F7,0.00E+00,0.00E+00,0.00E+00,0.00E+00,2.27E-04,0.00E+00,0.00E+00,1.18E-03,0.00E+00,0.00E+00,0.00E+00,6.94E-04,6.68E-05,0.00E+00,0.00E+00,1.05E-03,1.24E-04,0.00E+00,1.64E-04,3.56E-04
EBP,4.38E-04,3.14E-04,1.34E-03,2.50E-04,2.35E-05,1.35E-04,5.17E-05,1.49E-03,3.45E-04,1.79E-04,7.90E-04,2.02E-04,2.22E-04,1.32E-03,1.47E-04,4.98E-06,2.00E-04,2.83E-04,1.99E-04,2.93E-04
ECE1,1.88E-04,4.75E-04,9.40E-04,5.10E-04,1.13E-05,6.56E-04,0.00E+00,1.37E-04,5.04E-05,1.16E-04,0.00E+00,4.87E-04,2.53E-04,8.87E-04,5.31E-04,3.06E-04,2.22E-04,1.21E-04,1.83E-03,6.98E-04
ECM1,6.78E-04,9.45E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.57E-05,0.00E+00,0.00E+00,6.24E-03,4.68E-04,3.24E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,5.01E-04,1.25E-04,0.00E+00
ECM2,6.35E-06,0.00E+00,0.00E+00,0.00E+00,9.82E-05,0.00E+00,0.00E+00,0.00E+00,6.14E-05,0.00E+00,0.00E+00,8.42E-05,1.50E-05,0.00E+00,0.00E+00,1.29E-03,3.42E-04,0.00E+00,0.00E+00,2.58E-05
EDN1,0.00E+00,4.14E-04,2.68E-04,7.70E-04,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.14E-04,0.00E+00,5.62E-04,0.00E+00,0.00E+00,0.00E+00,4.22E-04,0.00E+00,4.26E-04,1.63E-03,0.00E+00
EDN2,9.96E-05,4.84E-04,0.00E+00,1.77E-04,1.09E-05,0.00E+00,0.00E+00,0.00E+00,1.94E-04,5.92E-05,0.00E+00,5.19E-05,0.00E+00,0.00E+00,5.64E-05,0.00E+00,0.00E+00,1.23E-05,4.29E-04,0.00E+00
EDNRA,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,4.74E-06,0.00E+00,0.00E+00,0.00E+00,0.00E+00,6.29E-05,0.00E+00,2.89E-04,5.19E-05,0.00E+00,5.69E-04,1.93E-03,0.00E+00,0.00E+00,2.00E-04
EEA1,7.81E-04,7.46E-04,2.49E-04,1.06E-04,9.67E-05,0.00E+00,0.00E+00,1.12E-04,3.75E-04,0.00E+00,8.37E-04,0.00E+00,1.22E-04,5.11E-04,3.39E-04,1.59E-04,7.33E-04,2.96E-04,5.74E-04,2.35E-04
EEF1A1,1.39E-03,6.45E-04,1.13E-03,1.37E-03,3.72E-04,3.80E-04,2.79E-04,0.00E+00,3.99E-03,2.43E-04,2.22E-04,4.80E-04,1.36E-03,0.00E+00,0.00E+00,3.80E-04,5.51E-04,1.99E-04,0.00E+00,0.00E+00
EEF1B2,8.36E-04,0.00E+00,5.22E-04,1.08E-03,4.73E-05,1.27E-04,1.50E-04,8.59E-04,3.10E-03,0.00E+00,8.33E-04,6.55E-04,1.70E-04,8.07E-05,0.00E+00,8.42E-05,4.30E-04,0.00E+00,0.00E+00,1.40E-04
EEF2,4.11E-04,8.38E-04,7.17E-04,2.12E-03,1.50E-04,4.49E-04,2.74E-04,7.43E-05,2.43E-03,0.00E+00,5.89E-04,8.01E-04,1.61E-03,4.65E-04,0.00E+00,2.11E-04,5.57E-04,0.00E+00,2.09E-04,4.77E-04
EFCAB1,0.00E+00,0.00E+00,0.00E+00,0.00E+00,3.21E-03,0.00E+00,0.00E+00,9.40E-05,0.00E+00,0.00E+00,0.00E+00,1.67E-05,1.56E-05,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,1.50E-06
EFEMP1,1.81E-03,4.13E-04,7.04E-04,4.19E-04,3.47E-04,3.09E-05,0.00E+00,5.17E-04,4.97E-04,0.00E+00,0.00E+00,1.05E-04,0.00E+00,0.00E+00,8.02E-04,0.00E+00,1.47E-04,5.54E-04,0.00E+00,1.14E-04
EFHC1,1.54E-04,8.01E-05,1.13E-04,1.97E-05,3.75E-03,1.94E-04,2.39E-04,4.50E-05,3.79E-05,3.09E-06,0.00E+00,1.92E-05,1.03E-04,4.24E-05,2.00E-04,2.69E-06,1.74E-06,0.00E+00,3.84E-05,8.72E-05
