TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
7687000000.0	244197788.3	231628344.0	248499153.9
7688000000.0	244202975.8	231632618.0	248505149.5
7689000000.0	244208162.4	231636891.1	248511144.0
7690000000.0	244213347.9	231641163.3	248517137.5
7691000000.0	244218532.4	231645434.7	248523129.8
7692000000.0	244223715.9	231649705.1	248529121.1
7693000000.0	244228898.4	231653974.7	248535111.3
7694000000.0	244234079.8	231658243.3	248541100.4
7695000000.0	244239260.2	231662511.1	248547088.4
7696000000.0	244244439.6	231666778.1	248553075.3
7697000000.0	244249618.0	231671044.1	248559061.2
7698000000.0	244254795.3	231675309.3	248565046.0
7699000000.0	244259971.7	231679573.5	248571029.7
7700000000.0	244265147.0	231683836.9	248577012.4
7701000000.0	244270321.2	231688099.4	248582993.9
7702000000.0	244275494.5	231692361.1	248588974.4
7703000000.0	244280666.7	231696621.8	248594953.8
7704000000.0	244285837.9	231700881.7	248600932.1
7705000000.0	244291008.1	231705140.7	248606909.4
7706000000.0	244296177.3	231709398.8	248612885.5
7707000000.0	244301345.5	231713656.0	248618860.6
7708000000.0	244306512.6	231717912.4	248624834.6
7709000000.0	244311678.7	231722167.8	248630807.6
7710000000.0	244316843.8	231726422.4	248636779.4
7711000000.0	244322007.9	231730676.2	248642750.2
7712000000.0	244327170.9	231734929.0	248648720.0
7713000000.0	244332333.0	231739181.0	248654688.6
7714000000.0	244337494.0	231743432.0	248660656.2
7715000000.0	244342654.0	231747682.2	248666622.7
7716000000.0	244347813.0	231751931.6	248672588.1
7717000000.0	244352971.0	231756180.0	248678552.4
7718000000.0	244358127.9	231760427.6	248684515.7
7719000000.0	244363283.9	231764674.3	248690477.9
7720000000.0	244368438.8	231768920.1	248696439.0
7721000000.0	244373592.7	231773165.1	248702399.1
7722000000.0	244378745.6	231777409.1	248708358.1
7723000000.0	244383897.5	231781652.3	248714316.0
7724000000.0	244389048.3	231785894.7	248720272.8
7725000000.0	244394198.2	231790136.1	248726228.6
7726000000.0	244399347.0	231794376.7	248732183.3
7727000000.0	244404494.8	231798616.4	248738137.0
7728000000.0	244409641.6	231802855.2	248744089.5
7729000000.0	244414787.4	231807093.2	248750041.0
7730000000.0	244419932.2	231811330.3	248755991.4
7731000000.0	244425076.0	231815566.5	248761940.8
7732000000.0	244430218.7	231819801.8	248767889.1
7733000000.0	244435360.5	231824036.3	248773836.3
7734000000.0	244440501.2	231828269.9	248779782.4
7735000000.0	244445640.9	231832502.6	248785727.5
7736000000.0	244450779.7	231836734.4	248791671.5
7737000000.0	244455917.4	231840965.4	248797614.5
7738000000.0	244461054.0	231845195.5	248803556.4
7739000000.0	244466189.7	231849424.7	248809497.2
7740000000.0	244471324.4	231853653.1	248815436.9
7741000000.0	244476458.1	231857880.6	248821375.6
7742000000.0	244481590.7	231862107.2	248827313.2
7743000000.0	244486722.3	231866333.0	248833249.8
7744000000.0	244491853.0	231870557.9	248839185.3
7745000000.0	244496982.6	231874781.9	248845119.7
7746000000.0	244502111.2	231879005.0	248851053.0
7747000000.0	244507238.8	231883227.3	248856985.3
7748000000.0	244512365.4	231887448.7	248862916.6
7749000000.0	244517491.0	231891669.2	248868846.7
7750000000.0	244522615.6	231895888.9	248874775.8
7751000000.0	244527739.2	231900107.7	248880703.9
7752000000.0	244532861.8	231904325.7	248886630.9
7753000000.0	244537983.3	231908542.7	248892556.8
7754000000.0	244543103.9	231912758.9	248898481.6
7755000000.0	244548223.5	231916974.3	248904405.4
7756000000.0	244553342.0	231921188.7	248910328.1
7757000000.0	244558459.6	231925402.4	248916249.8
7758000000.0	244563576.1	231929615.1	248922170.4
7759000000.0	244568691.6	231933827.0	248928090.0
7760000000.0	244573806.2	231938038.0	248934008.4
7761000000.0	244578919.7	231942248.1	248939925.9
7762000000.0	244584032.2	231946457.4	248945842.2
7763000000.0	244589143.8	231950665.8	248951757.5
7764000000.0	244594254.3	231954873.4	248957671.8
7765000000.0	244599363.8	231959080.1	248963585.0
7766000000.0	244604472.3	231963285.9	248969497.1
7767000000.0	244609579.8	231967490.8	248975408.2
7768000000.0	244614686.4	231971694.9	248981318.2
7769000000.0	244619791.9	231975898.2	248987227.2
7770000000.0	244624896.4	231980100.5	248993135.1
7771000000.0	244629999.9	231984302.1	248999041.9
7772000000.0	244635102.4	231988502.7	249004947.7
7773000000.0	244640203.9	231992702.5	249010852.4
7774000000.0	244645304.4	231996901.4	249016756.1
7775000000.0	244650404.0	232001099.5	249022658.7
7776000000.0	244655502.5	232005296.7	249028560.3
7777000000.0	244660600.0	232009493.0	249034460.8
7778000000.0	244665696.5	232013688.5	249040360.2
7779000000.0	244670792.0	232017883.1	249046258.6
7780000000.0	244675886.5	232022076.9	249052156.0
7781000000.0	244680980.1	232026269.8	249058052.3
7782000000.0	244686072.6	232030461.8	249063947.5
7783000000.0	244691164.1	232034653.0	249069841.7
7784000000.0	244696254.7	232038843.3	249075734.8
7785000000.0	244701344.2	232043032.8	249081626.9
7786000000.0	244706432.7	232047221.4	249087517.9
7787000000.0	244711520.3	232051409.1	249093407.9
7788000000.0	244716606.8	232055596.0	249099296.8
7789000000.0	244721692.4	232059782.1	249105184.7
7790000000.0	244726777.0	232063967.2	249111071.5
7791000000.0	244731860.5	232068151.6	249116957.2
7792000000.0	244736943.1	232072335.0	249122841.9
7793000000.0	244742024.7	232076517.6	249128725.6
7794000000.0	244747105.3	232080699.4	249134608.2
7795000000.0	244752184.8	232084880.3	249140489.8
7796000000.0	244757263.4	232089060.3	249146370.3
7797000000.0	244762341.0	232093239.5	249152249.8
7798000000.0	244767417.7	232097417.8	249158128.2
7799000000.0	244772493.3	232101595.3	249164005.5
7800000000.0	244777567.9	232105771.9	249169881.9
7801000000.0	244782641.5	232109947.7	249175757.1
7802000000.0	244787714.2	232114122.6	249181631.3
7803000000.0	244792785.8	232118296.6	249187504.5
7804000000.0	244797856.5	232122469.8	249193376.6
7805000000.0	244802926.2	232126642.2	249199247.7
7806000000.0	244807994.9	232130813.7	249205117.8
7807000000.0	244813062.6	232134984.3	249210986.7
7808000000.0	244818129.3	232139154.1	249216854.7
7809000000.0	244823195.0	232143323.0	249222721.6
7810000000.0	244828259.7	232147491.1	249228587.4
7811000000.0	244833323.4	232151658.3	249234452.2
7812000000.0	244838386.2	232155824.7	249240316.0
7813000000.0	244843447.9	232159990.3	249246178.7
7814000000.0	244848508.7	232164154.9	249252040.4
7815000000.0	244853568.5	232168318.8	249257901.0
7816000000.0	244858627.3	232172481.7	249263760.6
7817000000.0	244863685.1	232176643.9	249269619.1
7818000000.0	244868741.9	232180805.1	249275476.6
7819000000.0	244873797.8	232184965.6	249281333.1
7820000000.0	244878852.6	232189125.1	249287188.5
7821000000.0	244883906.5	232193283.9	249293042.8
7822000000.0	244888959.4	232197441.7	249298896.2
7823000000.0	244894011.3	232201598.8	249304748.4
7824000000.0	244899062.2	232205754.9	249310599.7
