TOTAL_READS	EXPECTED_DISTINCT	LOWER_0.95CI	UPPER_0.95CI
4168000000.0	261964665.3	258295456.4	273564424.7
4169000000.0	261979155.6	258309153.2	273582098.7
4170000000.0	261993640.8	258322845.1	273599767.3
4171000000.0	262008121.0	258336532.1	273617430.2
4172000000.0	262022596.0	258350214.2	273635087.7
4173000000.0	262037066.0	258363891.4	273652739.6
4174000000.0	262051530.9	258377563.7	273670386.0
4175000000.0	262065990.8	258391231.1	273688026.8
4176000000.0	262080445.6	258404893.7	273705662.1
4177000000.0	262094895.3	258418551.4	273723291.9
4178000000.0	262109340.0	258432204.2	273740916.1
4179000000.0	262123779.6	258445852.1	273758534.9
4180000000.0	262138214.1	258459495.2	273776148.1
4181000000.0	262152643.7	258473133.4	273793755.8
4182000000.0	262167068.1	258486766.7	273811357.9
4183000000.0	262181487.5	258500395.1	273828954.6
4184000000.0	262195901.9	258514018.7	273846545.8
4185000000.0	262210311.2	258527637.5	273864131.4
4186000000.0	262224715.5	258541251.4	273881711.6
4187000000.0	262239114.8	258554860.4	273899286.2
4188000000.0	262253509.0	258568464.6	273916855.4
4189000000.0	262267898.2	258582063.9	273934419.0
4190000000.0	262282282.3	258595658.4	273951977.2
4191000000.0	262296661.5	258609248.0	273969529.9
4192000000.0	262311035.6	258622832.8	273987077.0
4193000000.0	262325404.7	258636412.8	274004618.7
4194000000.0	262339768.8	258649987.9	274022155.0
4195000000.0	262354127.8	258663558.2	274039685.7
4196000000.0	262368481.9	258677123.7	274057210.9
4197000000.0	262382830.9	258690684.3	274074730.7
4198000000.0	262397175.0	258704240.1	274092245.0
4199000000.0	262411514.0	258717791.1	274109753.9
4200000000.0	262425848.1	258731337.3	274127257.2
4201000000.0	262440177.1	258744878.7	274144755.2
4202000000.0	262454501.1	258758415.2	274162247.6
4203000000.0	262468820.2	258771946.9	274179734.6
4204000000.0	262483134.2	258785473.8	274197216.1
4205000000.0	262497443.3	258798996.0	274214692.2
4206000000.0	262511747.4	258812513.3	274232162.8
4207000000.0	262526046.5	258826025.8	274249628.0
4208000000.0	262540340.6	258839533.5	274267087.7
4209000000.0	262554629.7	258853036.4	274284542.0
4210000000.0	262568913.9	258866534.5	274301990.9
4211000000.0	262583193.1	258880027.8	274319434.3
4212000000.0	262597467.3	258893516.4	274336872.3
4213000000.0	262611736.6	258907000.1	274354304.8
4214000000.0	262626000.9	258920479.1	274371731.9
4215000000.0	262640260.2	258933953.3	274389153.6
4216000000.0	262654514.6	258947422.7	274406569.9
4217000000.0	262668764.0	258960887.3	274423980.7
4218000000.0	262683008.5	258974347.2	274441386.1
4219000000.0	262697248.0	258987802.2	274458786.1
4220000000.0	262711482.5	259001252.6	274476180.7
4221000000.0	262725712.2	259014698.1	274493569.9
4222000000.0	262739936.8	259028138.9	274510953.7
4223000000.0	262754156.6	259041574.9	274528332.0
4224000000.0	262768371.4	259055006.2	274545705.0
4225000000.0	262782581.2	259068432.7	274563072.5
4226000000.0	262796786.1	259081854.5	274580434.7
4227000000.0	262810986.1	259095271.5	274597791.4
4228000000.0	262825181.2	259108683.7	274615142.8
4229000000.0	262839371.3	259122091.2	274632488.8
4230000000.0	262853556.5	259135494.0	274649829.4
4231000000.0	262867736.8	259148892.0	274667164.5
4232000000.0	262881912.2	259162285.3	274684494.4
4233000000.0	262896082.7	259175673.9	274701818.8
4234000000.0	262910248.2	259189057.7	274719137.8
4235000000.0	262924408.9	259202436.8	274736451.5
4236000000.0	262938564.6	259215811.2	274753759.8
4237000000.0	262952715.4	259229180.8	274771062.8
4238000000.0	262966861.3	259242545.7	274788360.3
4239000000.0	262981002.4	259255905.9	274805652.5
4240000000.0	262995138.5	259269261.4	274822939.4
4241000000.0	263009269.7	259282612.2	274840220.8
4242000000.0	263023396.1	259295958.2	274857497.0
4243000000.0	263037517.5	259309299.6	274874767.7
4244000000.0	263051634.1	259322636.2	274892033.1
4245000000.0	263065745.8	259335968.1	274909293.2
4246000000.0	263079852.5	259349295.3	274926547.9
4247000000.0	263093954.5	259362617.9	274943797.3
4248000000.0	263108051.5	259375935.7	274961041.3
4249000000.0	263122143.7	259389248.8	274978280.0
4250000000.0	263136231.0	259402557.3	274995513.3
4251000000.0	263150313.4	259415861.0	275012741.3
4252000000.0	263164390.9	259429160.1	275029964.0
4253000000.0	263178463.6	259442454.4	275047181.4
4254000000.0	263192531.5	259455744.1	275064393.4
4255000000.0	263206594.4	259469029.1	275081600.1
4256000000.0	263220652.5	259482309.5	275098801.4
4257000000.0	263234705.8	259495585.1	275115997.5
4258000000.0	263248754.2	259508856.1	275133188.2
4259000000.0	263262797.8	259522122.4	275150373.7
4260000000.0	263276836.5	259535384.1	275167553.8
4261000000.0	263290870.4	259548641.0	275184728.6
4262000000.0	263304899.4	259561893.4	275201898.1
4263000000.0	263318923.6	259575141.0	275219062.2
4264000000.0	263332942.9	259588384.0	275236221.1
4265000000.0	263346957.4	259601622.4	275253374.7
4266000000.0	263360967.1	259614856.0	275270523.0
4267000000.0	263374972.0	259628085.1	275287666.0
4268000000.0	263388972.0	259641309.5	275304803.7
4269000000.0	263402967.2	259654529.2	275321936.1
4270000000.0	263416957.6	259667744.3	275339063.2
